category,x,y,name,address
소주,37.2484474,127.0786515,남대감,경기도 수원시 영통구 영통동 1021-3
소주,37.2482929,127.0772083,국가대표생고기,영통동 1022-1
소주,37.2520347,127.0756454,곱창가,경기도 수원시 영통구 영통동 1010-12 1층
소주,37.2521347,127.076667,승도리네곱도리탕,경기도 수원시 영통구 영통동 1011-5 영통테라스가든 제1층 제115호
소주,37.252615,127.0743758,육회독존,영통동 998-4
소주,37.2482643,127.0774375,수포차,영통동 1022-7 m프라자 1층 수포차
이자카야,37.2494892,127.0791269,이자카야이틀,영통동 1020-1
이자카야,37.2479601,127.0789043,선영이자카야,영통동 1024-16
이자카야,37.2510131,127.0752194,쿄쿄식당,영통동 1008-9 1층 쿄쿄식당
이자카야,37.2524417,127.0756132,청담이상,영통동 1010-1
이자카야,37.2524416,127.0757205,사라,영통동 1010-1 1층
이자카야,37.2514259,127.0759177,몽,영통동 1009-2 플러스타운빌딩 103호
막걸리,37.2524916,127.078913,파전한판,영통동 1044-6
막걸리,37.2534804,127.0769635,전술,영통동  1036-1
막걸리,37.2502342,127.0738999,전과부침개맛있는집,영통동 1001-7
막걸리,37.2522389,127.07653,인생역전,영통동 1011-5 테라스가든 1층
맥주,37.2482952,127.0771754,치킨마루,영통동 1022-1
맥주,37.2494453,127.0790406,짠,영통동 1025-8
맥주,37.2492063,127.0783289,순덕이네비어,영통동 1019-8
맥주,37.2512417,127.074719,비어캐빈,영통동 1008-6
맥주,37.2514259,127.0759177,노가리슈퍼,영통동 1009-2
