category,x,y,name,address
감성,37.2429832,127.0749535,카페 서천,서천동 247
감성,37.2494891,127.0789843,하울즈,영통동 1020-2
감성,37.2490524,127.0785731,라이킷,영통동 1020-7
감성,37.2514463,127.0771019,카페 쏘칼로,영통동 1012-1
감성,37.2532119,127.0758202,카인드엉클,영통동 1037-4
감성,37.2524338,127.073904,카페 운트,영통동 998-5
카공,37.2483107,127.0778776,스위티두,영통동 1022-5
카공,37.2479316,127.0765116,카페 칸나,영통동 1024-3
카공,37.2499818,127.0789709,카페아라,영통동 1013-1
카공,37.2500215,127.0767893,앙코르보아,영통동 1005-8
카공,37.2494746,127.0774245,하추다방,영통동 1014-12
카공,37.2523121,127.0780532,서동진의커피랩,영통동 1034-3
카공,37.2488122,127.0781646,NS커피빈,영통동 1019-4
디저트,37.2482716,127.0755212,화이트스노우,영통동 993-8
디저트,37.2488175,127.0773439,유멜로우,영통동 1018-3
디저트,37.2496031,127.0778854,전광수커피하우스,영통동 1014-8
디저트,37.2496272,127.0775212,이너프,영통동 1014-5
디저트,37.2495858,127.0793057,고씨커피,영통동 1019-23
