category,x,y,name,address
노래방,37.2483107,127.0778776,복면가황코인노래방,영통동 1022-5
노래방,37.2479573,127.0781975,킹노래방,망포동 417-2
노래방,37.2529038,127.0751144,팝스타코인노래방,영통동 998-8 키라레스토아 311호
노래방,37.2492425,127.0795086,준노래연습장,영통동 1019-18
피시방,37.247951,127.0784298,더쉐프피씨카페,영통동 1024-14
피시방,37.2479573,127.0781975,아이센스리그PC,영통동 1024-13
피시방,37.2468082,127.0768973,케이스타PC,서천동 7 서윤빌딩 지하 1층 B01호,B02호
피시방,37.252161,127.0754319,크리드PC방,영통동 1010-13 3층 크리드 PC방
피시방,37.2529149,127.0752886,1프로PC아레나,영통동 998-8
기타,37.2479573,127.0781975,경희당구클럽,영통동 1024-13
기타,37.2527036,127.0716535,메가박스,영통동 960-1 그랜드백화점
기타,37.2524416,127.0757205,레드버튼 보드게임카페,영통동 1010-1 월드프라자 6층
기타,37.2512789,127.0747596,타이틀보드게임카페,영통동 1008-5 다온빌딩 4층
기타,37.2529149,127.0752886,히어로보드게임카페,영통동 998-8
기타,37.2536121,127.0753182,킹덤볼링장,영통동 998-1
